"character";"jap text";"Eng";"Esp"
"narrator";"捕虜の様子を見る為に、 悪司が地下へと続く階段を降りている。
 　　［かち………］";"Akuji is descending the stairs leading to the basement to check on his captors.
 　　[click ………]";"Akuji baja las escaleras que conducen al sótano para ver cómo están sus captores.
 　　[WATCH ………]"
"Yamamoto Akuji (talking)";"ん？";"Hmm?";"¿Eh?"
"narrator";"　　［かち……　かち……］";"[…… ……]";"[Kachi…… Kachi ……]"
"Yamamoto Akuji (talking)";"なんだ、この物悲しい、かちかち音は？";"What is that sad, clacking sound?";"¿Qué es ese triste sonido de clic?"
"narrator";"　　［かち…］";"[value…]";"[valor…]."
" (talking)";"………まだ……だめ……";"……… still…… no ……";"……… todavía…… no ……"
"Yamamoto Akuji (talking)";"な、なんか陰気な声が……";"Hey, what a gloomy voice: ……";"Oye, qué voz más tétrica: ……"
" (talking)";"揃わない……ああ… 難しすぎる…ああ……どうしよう……";"I can't get it to line up…… oh… it's too hard… oh…… what to do……";"No consigo que se alinee…… oh… es muy difícil… oh…… qué hacer……"
"Yamamoto Akuji (talking)";"誰だ？";"Who is it?";"¿Quién es usted?"
"Hikage Mitsuko (talking)";"………日陰……";"………Hikage……";"………Hikage……"
"Yamamoto Akuji (talking)";"ん？";"Hmm?";"¿Eh?"
"Hikage Mitsuko (talking)";"悪司さんに…ここにいろと命令された… 日陰……密子ですぅ……";"Akuji ordered me… to stay here… Hikage ……Mitsuko is soooo ……";"Akuji me ordenó que… me quedara aquí… Hikage ……Mitsuko es taaaan ……"
"Yamamoto Akuji (talking)";"ああ……
っていうか、お前さんが暗いとこが 好きだって言うから、 ここに配属してやったんだろが。";"Oh, ……
I mean, you said you liked the dark, so I put you here.";"Oh, ……
Dijiste que te gustaba la oscuridad, así que te puse aquí."
