"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{(☆衣笠 < 5) * (☆ＤＡＴＥ < 35) * (☆ＤＡＴＥ > 29):","",""
"__system__??","}","",""
"__system__??","{(☆衣笠 = 0) * (★調教 = 3):","",""
"__system__??","}","",""
"__system__??","{(☆衣笠 < 2) * (☆ＤＡＴＥ > 10):","",""
"__system__??","}","",""
"__system__??","{☆衣笠 = 2:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 2:","",""
"__system__??","{☆衣笠 = 3:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 4:","",""
"__system__??","}","",""
"__system__??","{麦 = 5:","",""
"__system__??","}","",""
"Kinugasa Tomoko (talking)","あっ…あの… こ、こんにちわ……","Oh… um… hello here: ……","Oh… um… hola aquí: ……"
"Yamamoto Akuji (talking)","おう。","Oh.","Oh."
"Kinugasa Tomoko (thinking)","な、何かな… どうされるのかしら… 緊張してしまう……","Hey, what's this… I wonder what they're going to do to me… I'm so nervous ……","Me pregunto… qué… qué me van a hacer… Estoy muy nerviosa……"
"Yamamoto Akuji (talking)","服、自分で脱いでくんねぇか？","Why don't you take off your own clothes?","¿No puedes quitarte la ropa tú mismo?"
"Kinugasa Tomoko (talking)","え、えっ……","Eh, eh ……","Eh, eh: ……"
"Yamamoto Akuji (talking)","それとも、着たままがいいか？ お前さんの望むまま、抱いてやるよ。","Or would you prefer to keep your clothes on? I'll hold you as you want.","¿O prefieres dejarlo puesto? Te abrazaré como quieras."
"Kinugasa Tomoko (talking)","のっ…望むまま…だなん…て… そんな……","No… as you wish… no… no… no… no… ……","No… como quieras… no… no… no… no… ……"
"Yamamoto Akuji (talking)","少し乱暴にされる方が好きだったな。","I liked it better when they were a little rough.","Lo prefería cuando eran un poco duros conmigo."
"Kinugasa Tomoko (talking)","あっ……","Oh, ……","Ah: ……"
"Yamamoto Akuji (talking)","力抜いてな。 何も考えなくていい。","Relax. Don't think about anything.","Relájate. No pienses en nada."
"Kinugasa Tomoko (talking)","あっ…悪司…さん…！","Ah… Akuji…!","Ah… Akuji…"
"Kinugasa Tomoko (talking)","悪司は、智子に悦びを与えてやった。","Akuji gave pleasure to Tomoko.","Akuji le dio a Tomoko un poco de placer."
"Kinugasa Tomoko (talking)","………………","………………","………………"
"Yamamoto Akuji (talking)","満足したか？","Satisfied?","¿Satisfecho?"
"Kinugasa Tomoko (talking)","~~……っ……","~~……~……","~~……~……"
"narrator","智子は顔を真っ赤にし、シーツの中に隠れた。","Tomoko turned red and hid in the sheets.","Tomoko se puso roja y se escondió entre las sábanas."
"Yamamoto Akuji (talking)","智子。 そろそろ、躰が俺を欲しがって ねぇか？","Tomoko. Isn't it about time my body wanted me?","Tomoko. Ya es hora de que mi cuerpo me quiera, ¿no crees?"
"Kinugasa Tomoko (talking)","そ、そんな、私………","Oh, no, I ………","Oh, no, yo ………"
"Yamamoto Akuji (talking)","遠慮すんなよ。 さあ、こい。","Don't be shy. Come on, come on.","No seas tímido. Vamos, vamos."
"Kinugasa Tomoko (talking)","ちょ、ちょっと待って下さい、私……
私…… 悪司さんの事、好きです……
 ……だっ……だから……","Wait a minute, I ……
I like…… Akuji, ……
It's…… because it's ……","Un momento, yo ……
Me gusta…… Akuji, me gusta ……
Soy…… porque fui…… ……"
"Yamamoto Akuji (talking)","だからなんだ？ 俺もお前の事を好きになれって？","So what? I'm supposed to like you too?","¿Y qué? ¿Se supone que tú también me gustas?"
"Kinugasa Tomoko (talking)","あっ……","Oh, ……","Ah: ……"
"Yamamoto Akuji (talking)","それは無理だな。 俺はお前さんの事を女として 好きにはならねー。","That's impossible. I don't like you as a woman.","Eso es imposible. No me gustas como mujer."
"Kinugasa Tomoko (talking)","っ………","You can find out more at ………","………"
"Yamamoto Akuji (talking)","どーする？ して欲しくなくなったか？","What do you do? Don't you want me to do it?","¿Qué hace usted? ¿No quieres que lo haga?"
"Kinugasa Tomoko (talking)","…………
 ……お願い……します…","……………… please ………","……………… Por favor, ………"
"Yamamoto Akuji (talking)","抱いている間は、お前の事を 考えておいてやるよ。 きな。","I'll keep you in my thoughts while I hold you. Kina.","Te mantendré en mis pensamientos mientras te sostengo. Kina."
"Yamamoto Akuji (talking)","智子は、悪司に逆らえない……","Tomoko is not against Akuji ……","Tomoko no está en contra de Akuji ……"
"Yamamoto Akuji (talking)","これやるよ。","I'll do this.","Lo haré."
"Kinugasa Tomoko (talking)","これって……","This is ……","Esto es ……"
"Yamamoto Akuji (talking)","金。","Money.","De oro."
"Kinugasa Tomoko (talking)","こんなものより……","From this stuff: ……","De este material: ……"
"Yamamoto Akuji (talking)","ん？","Hmm?","¿Eh?"
"Kinugasa Tomoko (talking)","い、いえ、なんでもありません！","No, no, nothing!","¡No, no, nada!"
"Yamamoto Akuji (talking)","あ、そ。","Oh, yeah.","Ah, eso."
"Kinugasa Tomoko (talking)","………………","………………","………………"
"Kinugasa Tomoko (talking)","はい…お茶を淹れました。 どうぞ、悪司さん。","Yes…I made tea. Please, Akuji.","Sí… hice té. Por favor, Akuji."
"Yamamoto Akuji (talking)","ん、ありがとさん。","Thank you very much.","Gracias."
" (talking)","若、入ってもよろしいですか？","Young man, may I come in?","Joven, ¿puedo entrar?"
"Kinugasa Tomoko (talking)","あら…お客様ですね。","Oh…you have a visitor.","Oh… eres un cliente."
"Yamamoto Akuji (talking)","あの声はタマネギだ。 通してやってくれ。","That voice is Tamanegi. Let him through.","Esa voz es Tamanegi. Déjalo pasar."
"Kinugasa Tomoko (talking)","はい。","Yes.","Sí."
"Tamanegi (talking)","こんにちわ、若。","Hello, young man.","Hola, joven."
"Yamamoto Akuji (talking)","おう、仕事の方は順調か？","Oh, how's business?","¿Cómo va el trabajo?"
"Tamanegi (talking)","はい、若のおかげで。
わたくしらは、若に恩返しをするだけで 何も誉められた事はしちゃいませんよ。","Yes, thanks to the young man.
We have done nothing honorable just to repay him.","Sí, gracias al joven.
No hemos hecho nada para compensar al joven, no hemos hecho nada para honrarlo."
"Kinugasa Tomoko (talking)","あの…お茶をどうぞ。 ここに置いておきますね。","Um…please have some tea. I'll leave it here.","Um… toma un poco de té. Lo dejaré aquí."
"Tamanegi (talking)","ああ、お気遣いなく…
 ………………","Oh, don't mind me…
 ………………","Oh, no me hagas caso…
 ………………"
