"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 1:";"";""
"__system__??";"{☆青葉イベント = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{☆青葉イベント > 2:";"";""
"__system__??";"}";"";""
"__system__??";"{☆青葉 = 0:";"";""
"__system__??";"}";"";""
"__system__??";"{☆青葉 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 2:";"";""
"__system__??";"{☆青葉イベント > 2:";"";""
"__system__??";"}";"";""
"__system__??";"{B忠誠心 > 70:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 3:";"";""
"__system__??";"{☆青葉イベント > 2:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 4:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 5:";"";""
"__system__??";"}";"";""
"Yamamoto Akuji (talking)";"おお、青葉――
 ……誰だ、それ。";"Oh, Aoba--…… who's that?";"Oh, Aoba--…… ¿Quién es ese, ese."
"narrator";"悪司に指を指された男は、ぺこりと会釈した。";"The man pointed his finger at Akuji and bailed out with a bow.";"El hombre que fue señalado por Akuji se retiró con un arco."
"Aoba Youko (talking)";"私の夫の青葉一郎です。 生きて…再会出来たんです。
紹介しておいた方がいいと思って 同行させました。";"This is my husband, Aoba Ichiro. He's alive… and we were able to meet again.
I thought it would be a good idea to introduce him, so I let him accompany me.";"Mi marido, Aoba Ichiro. Está vivo… y pudimos reunirnos de nuevo.
Pensé que sería una buena idea presentarlo, así que dejé que me acompañara."
"Elite Yakuza (talking)";"青葉一郎です。 はじめまして。";"My name is Ichiro Aoba. Nice to meet you.";"Aoba Ichiro. Encantado de conocerte."
"Yamamoto Akuji (talking)";"ああ。";"Oh.";"Oh."
"Aoba Youko (talking)";"あの、一郎さん……";"Um, Ichiro: ……";"Um, Ichiro: ……"
"Elite Yakuza (talking)";"ああ、仕事の話をするのか。 わかった、挨拶も一応済ませたし、 先に帰っておくよ。
それでは悪司さん、これからよろしく お願いします。";"Oh, you want to talk business? Okay, I've already said hello, so I'll go home first.
Well then, Akuji, please take care of me from now on.";"¿Quieres hablar de trabajo? Bien, ya he saludado, así que me iré a casa primero.
Entonces, Akuji, por favor, cuida de mí a partir de ahora."
"Yamamoto Akuji (talking)";"ああ、こちらこそ。";"Oh, it's my pleasure.";"Es un placer."
"Elite Yakuza (talking)";"失礼します。";"Excuse me.";"Disculpen."
"narrator";"会釈すると、一郎は出て行った。 完全に一郎の姿が消えてから、 青葉が切り出した。";"After bailing out, Ichiro left. After Ichiro had completely disappeared, Aoba cut him off.";"Después de abandonar, Ichiro se fue. Después de que Ichiro desapareciera por completo, Aoba le cortó el paso."
"Aoba Youko (talking)";"悪司さん…その… あなたと私に……肉体関係があった事… あの人には…";"Mr. Akuji… that… you and I had a…… physical relationship… that man…";"Señor Akuji… que… que usted y yo tuvimos…… relaciones físicas… que él…"
"Yamamoto Akuji (talking)";"わかってる。 秘密だろ。";"I know. It's a secret.";"Lo sé. Es un secreto, ¿no?"
"Aoba Youko (talking)";"はい。";"Yes.";"Sí."
"Yamamoto Akuji (talking)";"俺より、旦那の味の方があったって訳だ。";"That's how I knew my husband's taste was better than mine.";"Eso significa que tenía más gusto por mi marido que yo."
"Aoba Youko (talking)";"そ、そんな言い方… やめて下さい……";"Oh, don't talk like that… Please don't do that……";"Así no se habla… Por favor, no hagas eso……"
"Yamamoto Akuji (talking)";"その件は了解だ。 でだな、夫婦で俺の元で働いてくれよ。";"I'll Ryou solve that one. So, you and your wife should work for me.";"Yo Ryou resolveré eso. Entonces, tú y tu esposa deberían trabajar para mí."
"Aoba Youko (talking)";"え？";"Huh?";"¿Eh?"
"Yamamoto Akuji (talking)";"あんたの旦那も、戦えるんだろ？ だったら、俺の部下にくわえる。 文句はないな？";"Your husband can fight, right? Then I'll put him under my command. You don't have a problem with that, do you?";"Tu marido también puede luchar, ¿verdad? Entonces lo pondré bajo mi mando. No tienes ningún problema con eso, ¿verdad?"
"Aoba Youko (talking)";"そ、それは… お給金も頂けますし……";"Well, that's… And you'll get paid……";"Bueno, eso es… Y te pagan por ello……"
"Yamamoto Akuji (talking)";"だったら商談成立だ。 夫婦で俺の為に働いてもらうぜ。";"Then we have a deal. You and your wife will work for me.";"Entonces tenemos un trato. Usted y su esposa trabajarán para mí."
"__system__??";"{★結婚 = 1:";"";""
"Aoba Youko (talking)";"はい…ありがとうございます… 一郎さんも、喜ぶと思います。";"Yes… thank you… Ichiro will be pleased.";"Sí… gracias… Ichiro-san estará encantado."
"__system__??";"}";"";""
"__system__??";"{★結婚 \ 1:";"";""
"Aoba Youko (talking)";"あ、あの…… その…一郎さんが帰ってきたので… 私……";"Oh, um,…… well… Ichiro-san came back… I ……";"Oh, um,…… bueno… Ichiro ha vuelto, así que… ……"
"Yamamoto Akuji (talking)";"俺にはもう抱かれないってか？";"You don't want me to hold you anymore?";"¿No quieres que te abrace más?"
"Aoba Youko (talking)";"はい。";"Yes.";"Sí."
"Yamamoto Akuji (talking)";"そーいう返事はきっぱりしてくれるのな。 なーんか傷ついちまうな。";"You give me a firm reply like that, don't you? I'm kind of hurt.";"Me das una respuesta firme como esa, ¿no? Estoy un poco dolido."
"Aoba Youko (talking)";"だって…… 私は一郎さんの妻ですから…";"Because…… I am Ichiro's wife…";"Porque…… soy la esposa de Ichiro…"
"Yamamoto Akuji (talking)";"ＯＫＯＫ。 残念だけど、もうあんたを抱く事はなし。 約束するよ。";"OK, OK. I'm sorry, but I won't hold you anymore. I promise.";"Vale, vale, lo siento, pero no te voy a retener más. Lo prometo."
"Aoba Youko (talking)";"ありがとう、悪司さん。";"Thanks, Akuji.";"Gracias, Akuji."
"Yamamoto Akuji (talking)";"そっちからお願いしてくれたら、 いつでもしてやるぜ。";"If you ask me to do it, I'll do it anytime.";"Si me pides que lo haga por ti, lo haré cuando quieras."
"Aoba Youko (talking)";"そ、それはもうないです。";"Well, that is no longer the case.";"Eso, ya no es el caso."
"Yamamoto Akuji (talking)";"つれねー人妻だ。";"She's a very pretty married woman.";"Es una mujer casada y desagradable."
"Aoba Youko (talking)";"くす……";"Kusu……";"Kusu……"
"__system__??";"}";"";""
"narrator";"悪司が青葉を待っていると。";"Akuji is waiting for Aoba.";"Ese Akuji está esperando a Aoba."
" (talking)";"…から……";"…from ……";"… de ……"
"Aoba Youko (talking)";"ほら、おべんとついてる。 あんなに慌てて食べるから…";"Look, it's got a bento on it. You eat in such a hurry…";"Mira, llevas un pañal. Comes con tanta prisa…"
"Elite Yakuza (talking)";"そりゃ、慌てるだろう。 大将に呼ばれたんだから。";"Of course, you would be upset. The general called me.";"Así es, estarías molesto. El general me llamó."
"Aoba Youko (talking)";"だけど……";"But ……";"Pero ……"
